id,text,景色,交通,美食,门票,服务
review_001521,我在挑战黄鹤楼-以津真天地域鬼王评分为2231，小组排名第3，世界排名第3777！ ​,0,0,0,0,0
review_002582,Day47《黄鹤楼送孟浩然之广陵》 唐·李白故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。 ​,0,0,0,0,0
review_001850,出衣锦江南黄鹤楼m齐胸，前两年买的了只穿过一次有点小瑕疵，刚看了官店半价清仓中，也不知道多少合适，40一套不包这样吧，再刀可以商量 ​,0,0,0,0,0
review_000606,我妈逼我抽黄鹤楼。刚逛完超市回来，我进便利店想说买黄鹤楼万宝路各一包，我妈直接给我整了一条黄鹤楼，并且蛮坚决。 ​,0,0,0,0,0
review_000163,乐山大佛还是那个大佛，跟若干年前并无差别，那是因为有前同事安排实时变形监测…曾经爬上去摸了眉毛，摸了耳朵，摸了头顶…的人也还是那个人…非常时期，景区没什么人，感觉也是怪怪的…儿子说，妈妈，我在《环游中国》的4D电影里见过这个…是啊，那时你觉得震撼，所以带你来了…环游中国里面要看看的还有很多，只是疫情又反复，原定8月的两、三个计划，也许不能再实施了…8月你好，假期愉快。,0,0,0,0,0
review_002078,我在挑战黄鹤楼-以津真天地域鬼王评分为30876，小组排名第1，世界排名第397！ ​,0,0,0,0,0
review_002269,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第2，世界排名第26919！ ​,0,0,0,0,0
review_000192,雪窦山弥勒佛、中原大佛、庐山东林寺大佛、乐山大佛、香港天坛大佛、灵山大佛、峨眉山普贤菩萨、南海观音菩萨、九华山地藏王菩萨,0,0,0,0,0
review_001865,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第4，世界排名第13110！ ​,0,0,0,0,0
review_001632,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第1，世界排名第7269！ ​,0,0,0,0,0
review_000659,第一次来黄鹤楼，用了援鄂后收到的湖北终身免费旅游卡，还可以免费带三名家属。 当天预约就可以。 在门口检票的时候，拿着手机给检票的小哥哥看了一下，说是这个卡，他就直接让我们进了。 我还拿着手机问“哪里刷二维码？”小哥哥连声说：“进吧，进吧！” 好暖心！谢谢 一张门票好像好几十呢，省了不少钱。 来的时候刚好暴雨，在上面走廊被吹成 上下的楼梯比较窄，楼里躲雨的人很多。 不过，暴雨中登黄鹤楼也别有一番风景……,1,0,0,2,2
review_001075,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第4，世界排名第39593！ ​,0,0,0,0,0
review_000747, 《黄鹤楼送孟浩然之广陵》——李白 故人西辞黄鹤楼，烟花三月下扬州。 孤帆远影碧空尽，唯见长江天际流 林墨 tropical [康乃馨],0,0,0,0,0
review_000951,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第1，世界排名第23638！ ​,0,0,0,0,0
review_000195,【我国十大经典世界名片】促销活动中！1、世界七大奇迹之一：长城；2、世界最高峰：珠穆朗玛峰；3、秦始皇兵马俑；4、世界规模最宏大的佛教石窟寺：敦煌莫高窟；5、天安门广场；6、北京故宫；7、世界最高高原：青藏高原；8、世界最长的峡谷：雅鲁藏布大峡谷；9、世界最长古运河：京杭大运河；10、乐山大佛。,0,0,0,0,0
review_000390,四川峨眉山—乐山大佛：蜀之胜嘉州 ​,2,0,0,0,0
review_000819,⛸《黄鹤楼送孟浩然之广陵》——李白故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流林墨 inevitable136869hj ​,0,0,0,0,0
review_001001,我在挑战黄鹤楼-以津真天地域鬼王评分为14343，小组排名第1，世界排名第10216！ ​,0,0,0,0,0
review_001162,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第1，世界排名第48781！ ​,0,0,0,0,0
review_002242,我在挑战黄鹤楼-以津真天地域鬼王评分为13168，小组排名第1，世界排名第10920！ ​,0,0,0,0,0
review_001125,相声《黄鹤楼》片段，李金斗不愧是相声大腕，抖包袱堪称一绝 ​,0,0,0,0,0
review_001837,我在挑战黄鹤楼-以津真天地域鬼王评分为26863，小组排名第2，世界排名第2162！ ​,0,0,0,0,0
review_001747,我这两天在想那首诗：故人西辞黄鹤楼 烟花三月下扬州。黄鹤楼在武汉，武汉首先爆发疫情，现在居然有一个台风就叫做烟花，当这个叫烟花的台风来的时候，扬州也有了疫情，还真他妈下扬州了，你看巧不巧。原来传颂了这么多年，李白这首诗居然是预言[捂脸]而且扬州也是封城状态。 ​,0,0,0,0,0
review_002378,【黄鹤楼夜游演出暂停公告】 ​​​,0,0,0,0,0
review_000259,世界上最大的的佛，乐山大佛，见者好运连连 ​,2,0,0,0,0
review_002625,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第1，世界排名第9064！ ​,0,0,0,0,0
review_000576,去了个情怀，不值这票价,0,0,0,-1,0
review_000375,推荐:《七绝·晨练偶得85:乐山大佛之二》 (来自) ​,0,0,0,0,0
review_001267,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第3，世界排名第56845！ ​,0,0,0,0,0
review_002333,黄鹤楼绝对值得一去，性价比还挺高，还是蛮值得呢！就是人有点儿多，还是下雨的天气，不过看到天下第一楼心里还是特别欢喜的。绝对的旅游好去处,2,0,0,1,0
review_000267,【演练通知】为进一步强化防汛抗洪抢险救援协同作战能力，乐山市消防救援支队将于8月4日上午举行2021年度抗洪实战演练，届时会有无人机抛投营救、舟艇翻覆自救、孤岛救援等科目在乐山大佛岷江水域附近举行，期间会有消防车辆、救援人员调动前往，望广大市民、游客不要惊慌。 ​,0,0,0,0,0
review_001910,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第2，世界排名第14473！ ​,0,0,0,0,0
review_000612,早安！ 的 中国美酒行业创新永远在路上！正如大官所言，牵引新需求，创造新供给。作为江小白创始人 的粉丝，老兵一直对其由衷生出尊敬之意！面对十四五开局之年，求诸子团队在微博生态圈成功创意注册全新话题，通过话题导语，率先提出走进新时代的中国美酒必须要有双重供给、双重美感、双重体验！坦率而言，这种消费理念的创新，真正体现白酒行业的供给侧结构性改革！ 2021年7月19日,0,0,0,0,0
review_000571,下午在黄鹤楼酒厂给荆州商会、洪湖商会、硚口青年商会讲降税减费政策。 ​,0,0,0,0,0
review_001908,我在挑战黄鹤楼-以津真天地域鬼王评分为100，小组排名第1，世界排名第14447！ ​,0,0,0,0,0
review_000739,華《黄鹤楼送孟浩然之广陵》——李白故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流林墨 旺仔小馒头tahTwercS ​,0,0,0,0,0
