id,text,景色,交通,美食,消费,服务
113491,"不错，服务到位，性价比nice,使用很方便，简单易用，价格合理，很好很好。",0,0,0,2,2
148841,游玩过程很愉快车很舒服导游诺敏很好^^,0,2,0,0,2
501041,非常美丽的风景，踩在沙子上太舒服了,2,0,0,0,0
498621,看看沙漠玩玩沙，景点游玩项目偏贵,0,0,0,-1,0
31336,工作人员专业细致，态度亲切，服务无可挑剔,0,0,0,0,2
13799,玩的一般吧,0,0,0,0,0
212834,这次响沙湾之旅真的太棒了！沙漠风光壮丽，滑沙、骑骆驼等项目玩得超尽兴～特别感谢导游小兔，全程热情又专业，讲解生动有趣，还贴心帮我们拍照、安排行程，服务满分！行程节奏轻松，没有任何强制消费，整体体验感超好。强烈推荐小兔带队，下次还会再来！,2,0,0,1,2
169463,没有玩过沙的，值得去玩玩,0,0,0,0,0
212871,很好的一次旅行体验本来以为2个岛玩不转来不及但是小高导游的行程安排很合理这一天下很充实很愉快想来响沙湾玩的朋友强烈推荐这样报团性价比高方便省心,0,0,0,2,2
420733,真心无啥特别的,-1,0,0,0,0
372717,小龙导游不错，行程安排合理。,0,0,0,0,1
505500,响沙湾沙漠奇观，骆驼队太好玩了，、滑沙很好玩，玩不够，索道、大脚丫很刺激，孩子反复玩了好几次，莲沙度假岛星级住宿+蒙族演艺，夜赏银河。沙鸣独特，夕阳绝美，拍照出片；工作人员热情，项目安全，亲子情侣皆宜。,2,0,0,0,1
128662,"没有去过沙漠对沙漠有无限的幻想,终于去了趟沙漠,我们是下午到的入住民宿然后去的响沙湾,从后门进去门票好像是80但是要爬一个巨大的坡才能上去很费体力上去之后还是很美的沙漠非常出片沙子也是真多要带口罩要不然全吹嘴里了,捡了个滑板滑沙还不错一直待到景区打烊我们看了日落才出来看场沙漠日落还是非常值得的其他都挺好就是全是沙子风一来沙子打到皮肤上微微疼,没体验过还是值得来一趟的拍照是真美",2,0,0,0,0
408764,差评，根本不是页面提到的行程安排，导游私自修改行程和时间，猛推其他自费项目，推的都是最贵的项目，项目价格很乱，其实现场购买项目可以对半砍讲价的，跟团安排时间短，一个项目排队一个钟起，根本玩不了几个，浪费钱还不尽兴，另外天气原因顾客退团只能退大人的小部分，儿童一分不退，第一次来内蒙，印象太差了，此旅行社从此拉黑，墙裂要求文旅部门多管管。,0,0,0,-2,-2
494248,有专门的沙漠运输车，体验感很棒！就天热的时候太难受了，能体会到迷失在沙漠的无助感，滑沙还是到专门的区域内比较合适，要么滑的不顺畅，就是在沙漠里奔走了，外面买的滑沙板已经抛弃。建议买双袜子要么鞋里都是沙子，有休闲美食区域，在沙漠不要按照正常肯德基标准来要求餐食及品种。,1,1,0,0,0
17811,很棒的地方旅游必去景点之一的，就是去的时候太热了，注意防暑降温哦。,1,0,0,0,0
523120,仅为这场马术剧《英雄》，就值得来一次鄂尔多斯草原。三十余骑，就奔腾出夺人的气势。遥想900多年前，横扫欧亚的蒙古铁骑，该是怎样的令人胆寒。当然，也给很多国家和民族带来了痛苦与毁灭。去过辉腾锡勒草原和黄花沟，草原的质量来说…,0,0,0,0,0
522869,首先给供应商和OTA平台提一个建议，小朋友订单没有任何备注仅包含车费还须另收景点套票（套票加上车费竟然高于一个成人），这一点用户体验非常不好，完全可以在下订时就明确备注并收费。行程及项目体验总体体验还是不错的，感谢杨子导游非常认真负责，安排合理。当日天气很好不是特别热，人流也不算拥挤。项目基本都能体验到，总体很丰富。景区内有KFC但是操作很奇葩，明明没有做完非要系统提示完成，让大家在露天窗口苦等。其他方面没有槽点。,0,0,-1,-1,1
212934,菲儿导游很好，介绍的关于内蒙古的知识还有美食深得我心，整个行程也很好，没有隐形消费。响沙湾有一些自费项目，也是按需购买，很满意。唯一不足的就是有团友迟到导致一车人等（行程结束真的很想早点回家啊），但这也是报团不可避免的事情。希望大家出来玩都能做到最基本的守时吧。,0,0,2,2,2
384666,服务很好的哦,0,0,0,0,1
